output|text
3154.wav|SIL y uu n ai t i d h @ d oo k y uu p ae d dh eir r h a f @ v dh @ f ii l d SP f @r r m ou s t @ v dh @ s e k @ n d p ir r ii @ d SIL
1007.wav|SIL w ii; ou n l ii p l ei f @r r ch a r @ t ii SP t uu g i v s uh m th i n b a k t uu dh @ k i d z SIL
2679.wav|SIL b uh t h ii; h a z a z m uh ch p @ t e n sh l= t uu w i n dh i s ou p @ n SP a z e n ii m a n i n dh @ f ii l d SIL
2_245.wav|SIL h ii; d i d n oo t SIL
1_243.wav|SIL dh eir r w @ z n ou s ai d t @ h i m SIL
1190.wav|SIL dh ei k ei m p ar r t l ii ow t @ v dh @ f a m i l ii s i ch uu ei sh n= SP a n d p ar r t l ii ow t @ v dh @ p @ l i t i k l= s i ch uu ei sh n= SIL
009.wav|SIL dh eir r i z SP @ k or r d i n t @ l e jh @ n d SP a b oi l i n p oo t @ v g ou l d a t w uh n e n d SIL
1968.wav|SIL h ir; r w ii; @r r s @ v ir; r l ii r i s t r i k t i d b ae l e jh i s l ei sh n= SIL
517.wav|SIL y uu; v g oo t t @ l ai k @ k our r s SP t uu p l ei w e l oo n i t SIL
136.wav|SIL dh i s y ir; r SP w ii; k @ n r ii @ l ii f ii l dh @ r e z @r r e k sh n= SIL
084.wav|SIL p oo l m @ k ar r t n ii SP h @ z g i v n= h i z h ou m s i t ii a p @r r f or r m i n ar r t s s e n t @r r SIL
3612.wav|SIL dh a t w @ z dh @ t ai m t @ b ae SIL
2060.wav|SIL a s ii n y @r r l ei b @r r s our r s SP s e d dh @ ch ei n jh @ v n ei m w @ z d i s k uh s t @ t l a s t n ai t s m ii t i n oo v s k oo t i sh m e m b @r r z a t w e s t m i n s t @r r SIL
412.wav|SIL h ii; s ii m z t uu b ii; m ei k i n @ g uu d r i k uh v @r r ii SP a n d i z l uu k i n f or r w @r r d SP t uu g ou i n h ou m SIL
1_126.wav|SIL h ii; w i l s er r t @ n l ii b ii; i n v oo l v d SIL
3060.wav|SIL i t s l ai k l ii t uu b ii; w uh n @ v dh @ p ii p l= i l e k t i d @ t dh i s i l e k sh n= SIL
3532.wav|SIL dh ei m ei n e v @r r b ii; a z s @ k s e s f uu l @ g e n SIL
1403.wav|SIL hw ae sh uu d w ii; b ii; s @ b jh e k t i d t uu dh a t k ai n d @ v p r ou t e s t SIL
2985.wav|SIL s k uu l b i k ei m s ou d i f i k l= t f or r h @r r SP dh @ t h @r r p eir r @ n t s r i v er r t i d t uu t ii ch i n h er r a t h ou m SIL
3386.wav|SIL i t s @ k y ur r ii @ s p @ z i sh n= t uu b ii; i n SIL
2_074.wav|SIL sh ii; h a d d i n ae d SP dh @ ch ar r jh SIL
1692.wav|SIL w ii; f e l t i t w oo z s @ f i sh n= t SIL
3855.wav|SIL i t i z uh n f eir r t @ a s k m ii; @ b ow t dh i s SIL
3652.wav|SIL w ii; ar r s t i l w ei t i n a f ae n l= ow t k uh m SIL
455.wav|SIL dh ei w @r r oo l g uu d SIL
2_422.wav|SIL dh @ f ar r m @r r SP k uu d n oo t k @ n t ei n h i z jh e l @ s ii SIL
1_201.wav|SIL sh ii; i z n oo t dh @ w @@r r l d ch a m p ii @ n SIL
3436.wav|SIL f our r @ v dh @ v i k t i m z SP w er r w i m i n SIL
096.wav|SIL dh ei w @r r i n v ai t i d t uu g i v dh eir r v y uu; @ v dh @ w ei @ h e d f @r r dh @ k l uh b SIL
1713.wav|SIL w ii; sh uu d k ii p dh i s r ii s n= t @ s oo l t i n p @r r s p e k t i v SIL
1_202.wav|SIL b @ t dh @ k uh r @ n s ii i z n oo t @ k s e p t i d SIL
278.wav|SIL d uh z i t m ei k @ p r oo f i t SIL
048.wav|SIL ae w @ z n oo t k ow n t i n SIL
3955.wav|SIL i t w uu d s er r t @ n l ii b ii; g uu d t uu g e t i n t uu dh @ t ii m SP w i dh ow t h a v i n t uu w uh r ii @ b ow t @ w ai l d k ar r d SIL
3268.wav|SIL h ow e v @r r SP dh a t l e f t dh @ k w e s ch @ n oo v dh @ e v i d @ n s SP hw i ch w @ z n oo t l e d a t dh @ t r ae @ l SIL
2661.wav|SIL dh ei @r r f ii m ei l a n d m a r ii d SIL
3205.wav|SIL s k oo t l @ n d w i l f ai n d dh a t ow t SIL
4036.wav|SIL ae r ii @ l ii d uu; w oo n t t uu p l ei i n dh i s t ur r n @ m @ n t @ g e n SIL
2711.wav|SIL dh @ p @ l ii s w @r r k oo l d i n SIL
3617.wav|SIL ch ar r l z k l ar r k SP i z @ n i d ii @ t SIL
2744.wav|SIL jh oo n or r w @ z dh ii; i k s e p sh n= SIL
3392.wav|SIL a n @ n ow n s m @ n t oo n h i z r i p l ei s m @ n t SP i z i k s p e k t i d SP w i dh i n th r ii; w ii k s SIL
3995.wav|SIL l e t uh s b ii; k w ai t k l ir; r SIL
3679.wav|SIL dh eir r z n ou e v i d @ n s SP h ii; w @ z e v @r r dh eir r SIL
2867.wav|ae k @ n s ii; dh a t n ow SIL
2_382.wav|SIL hw oo t k @ n w ii; s ei SIL
1694.wav|SIL b uh t i t h @ z l ar r jh l ii v a n i sh t f r @ m dh ii; @ m e r i k @ n d i b ei t SIL
1_337.wav|SIL dh eir r w @ z n ou k oo n t e s t SIL
1548.wav|SIL i t w oo z @ d ei f @r r r i k or r d z SIL
2296.wav|SIL jh uh s t w ei t @ n d s ii; SIL
1620.wav|SIL i t oo l d i p e n d z oo n dh @ ch a n s l= @r r SIL
1_305.wav|SIL h ow e v @r r SP w ii; m uh s t n oo t b ii; k @ m p l ei s n= t SIL
2322.wav|SIL w i dh l or r d a l ii SP h ii; y uu; z d h i z ou n m uh n ii t @ h aer r oo f i s i z i n dh @ sh a d ou oo v w e s t m i n s t @r r a b ii SIL
3706.wav|SIL w ii; h @ v n e v @r r m a n i jh d SP t uu k w oo n t i f ae dh i s b i f our r SIL
2086.wav|SIL ae sh uu d h @ v h a d @ t l ii s t @ k uh p l= oo v g ou l z SIL
3243.wav|SIL hw oo t i z t uu b ii; d uh n SP w i dh y uu; @ n m @ g r e g @r r SIL
3467.wav|ae n y uu; i t w @ z m ou s t uh n l ai k l ii SIL
1046.wav|SIL i t s b ii n f r uh s t r ei t i n SP b @ t y uu; jh uh s t h a v t uu g e t oo n w i dh i t SIL
1829.wav|SIL w ii; m ei n oo t n ou m uh ch @ b ow t i t SP b @ t w ii; d uu; n ou hw oo t w ii; l ai k SIL
2_298.wav|SIL dh i s i z ou n l ii w uh n i g z a m p l= SIL
3169.wav|SIL dh i s i z i n t aer r l ii @ p r ou p r ii @ t SP a n d ou v @r r d y uu; SIL
2189.wav|SIL oo l dh ei n ii d n ow SP i z dh @ e n t @r r t ei n m @ n t l ae s n= s SIL
3741.wav|SIL ae d ou n t n ou hw eir r dh @ b a th r uu m i z SIL
2_243.wav|SIL i t d uh z n oo t m uu; v SP hw i ch i z @ m ei z i n SIL
3889.wav|ae l uu k t ow t s ai d SP a n d owr r n ei b @r r w @ z ow t s ai d SP oo n dh @ g r ow n d SIL
3662.wav|SIL dh @ n uh m b @r r @ v g ei m z i z @ p r oo b l @ m SP b @ t w ii; h a v t uu k ou p w i dh dh a t SIL
3215.wav|SIL i z oo l dh i s r ii @ l ii a s a k i n k ei s SIL
3653.wav|SIL dh a t s @ n uh dh @r r th i ng SP w ii; h a v t uu f a k t @r r i n SP dh i s w ii k SIL
1112.wav|SIL sh ii; w i l b ii; m ou t i v ei t i d t uu g e t @ w i n @ g e n s t m ii; SIL
1207.wav|SIL i n t @@r r n SP dh @ f aer r f ai t @r r z a ng g r i l ii k r i t i s ae z d dh @ g uh v @r r m @ n t SP f @r r f ei l i n t uu m ii t dh eir r d i m a n d z SIL
3675.wav|SIL dh @ s k oo t i sh m a n i jh m @ n t t ii m SP w i l s e t l= f @r r dh a t SIL
3867.wav|SIL dh @ h ou m s ai d SP h a d i t a z @ n e k s t r @ m a n i n dh @ f @@r r s t p ir r ii @ d SP a n d y uu; z d i t w e l SIL
1540.wav|SIL dh a t w i l n oo t k @ n t i n y uu SIL
957.wav|SIL dh eir r i z a l oo t @ v p @ t e n sh l= i n dh i s s ai d SIL
1_148.wav|SIL w ii; h @ v t @@r r n d dh @ k or r n @r r SIL
1899.wav|SIL i t s @ p i t ii SP b @ t dh a t i z dh @ r ii a l @ t ii @ v i t SIL
779.wav|SIL dh @ th i ng i z SP dh @ t oo l dh @ p l ei @r r z h ir; r h a v l oo ng t er r m k oo n t r a k t s SIL
1484.wav|SIL a z w ii; l uu k t @ w or r d z dh @ n e k s t s t ei jh @ v owr r d i v e l @ p m @ n t SP w ii; h @ v g oo t t uu k uh m uh p @ g e n s t t ii m z l ai k dh i s SIL
049.wav|SIL dh @ m ei n k @ n s er r n SP i z dh a t i t k uu d i n t @r r f ir; r w i dh SP eir r t r a f i k SIL
1047.wav|SIL dh i s i z dh @ s e k @ n d t ai m dh ei h @ v b ii t n= dh @ m i n f our r d ei z SIL
565.wav|SIL dh @ d i v e l @ p m @ n t i z @ n uh dh @r r k r i p l= i n s e t b a k f @r r dh @ s t r uh g l= i n t e k s t ai l i n d @ s t r ii i n s k oo t l @ n d SIL
4000.wav|SIL h ii; h @ d a s k t i f dh ei h a d dh @ s k r i p t SIL
3188.wav|SIL dh ei h @ v s uh m v e r ii g uu d p l ei @r r z SP b ei s t i n y ur r @ p SIL
1767.wav|SIL ae d i s @ g r ii; i n t aer r l ii SP w i dh dh @ d i s i zh n= SIL
1163.wav|SIL w ii; k a n oo t t ei k e n i th i n f @r r g r a n t i d SIL
1_417.wav|SIL h ii; p uu l d ow t @ g uh n SP a n d d i m a n d i d m uh n ii SIL
1341.wav|SIL i t w @ z p er r f i k t l ii n or r m l= k oo n v @r r s ei sh n= SIL
206.wav|SIL dh ei w i l d i s ai d i f h ii; h a z @ k ei s t @ a n s @r r SIL
280.wav|SIL l uh n d @ n i z w uh n @ v dh @ s ei f i s t k a p i t l= s i t ii z i n dh @ h ou l oo v dh @ w @@r r l d SIL
3980.wav|SIL s ou f ar r SP dh @ s ai n z ar r n oo t i n k uh r i jh i n SIL
2739.wav|SIL dh @ t r a jh @ d ii i z dh ei h @ v s ou l i t l= t uu sh ou f or r i t SIL
3777.wav|SIL dh ei w @r r n oo t ii v n= oo l dh eir r SIL
3369.wav|SIL dh eir r i z @ v k our r s SP @ n uh dh @r r s ai d SIL
1583.wav|SIL dh ei w @r r d e f i n @ t l ii uh p f @r r dh i s w uh n SIL
2181.wav|SIL i t w @ z k w ai t s i m p l ii SP d i l i sh @ s SIL
2_376.wav|SIL dh ei ar r i n dh @ r oo ng SIL
3523.wav|SIL h ii; w @ z d e d SIL
2529.wav|SIL i t w @ z n oo t a n i n s uh l t SIL
947.wav|SIL g uh v @r r m @ n t d uh z h a v @ r ou l SIL
3738.wav|ae g oo t a y e l ou k ar r d SIL
1_247.wav|SIL b @ t dh a t i z oo l b i h ai n d h i m SIL
3353.wav|SIL h i z r i k or r d oo n g uh v @r r m @ n t SP h @ z oo l w ei z b ii n h ae l ii i f e k t i v SIL
2_175.wav|SIL i f h ii; d uh z n oo t l ii; v SP h ii; w i l b ii; sh oo t SIL
3413.wav|SIL h i z k ei s i z b ii; i n b a k t b ae dh @ k @ m i sh n= f @r r r ei sh l= i k w oo l @ t ii SIL
1573.wav|SIL w er r dh eir r @ l oo t @ v m ae f a m i l ii i n dh @ k r ow d SIL
457.wav|SIL b uh t i t i z @ w ei @ v l uu k i n a t i t SIL
3106.wav|SIL dh eir r a k sh n= z SP ar r @ n i g z a m p l= oo v t e r @r r i z m= SIL
906.wav|SIL i t i z n= t a n i sh uu SIL
1_373.wav|SIL y uu; h @ v g oo t t uu b ii; SP r ii @ l i s t i k SIL
2897.wav|SIL dh a t s a z i t sh uu d b ii; SIL
3334.wav|SIL a k @ n s i s t @ n t l ii g uu d p @r r f or r m @ n s SP i z i m p our r t @ n t SIL
3966.wav|SIL dh eir r w @ z n ou n ii d SP f @r r dh i s t @ h a p @ n SIL
545.wav|SIL a l i s n= i z n oo t k @ n v i n s t SIL
2_228.wav|SIL ae h a v n= t h a d dh @ k oo l SIL
1058.wav|ae th i ng k dh @ s t r e n th @ v f ii l i n i z g a dh @r r i n m @ m e n t @ m SIL
067.wav|SIL d i s k uh sh n= z k @ n t i n y uu SP a n d dh ei @r r l ai k l ii t uu k @ n t i n y uu i n t uu n e k s t w ii k SIL
2851.wav|SIL ae dh @r r s i s t @ m SP k uu d h @ v p r i v e n t i d dh @ k r a sh SIL
2517.wav|SIL i t s n oo t k @r r e k t SIL
2_360.wav|SIL s ou hw oo t m ei k s i t s ou s p e sh l= SIL
3162.wav|SIL a n d i t s ii m z t uu m ii; SP dh @ t i t w uu d l ii d t uu k @ n f y uu zh n= SP ou v @r r h uu; h a z dh @ f ae n l= oo th oo r @ t ii SIL
3513.wav|SIL ae n y uu; i t w @ z @ t uh f t ai m f @r r dh @ l ae @ n z SP a n d a t uh f t ai m f @r r uh s SIL
2_170.wav|SIL h ii; h @ z s uh m th i n i n k oo m @ n SP w i dh dh @ w oo l @ b ii z SIL
3549.wav|SIL w ii; v g oo t dh @ b r oo n z SIL
319.wav|SIL a w ai d r ei n jh @ v r i s t r i k sh n= z ar r i n p l ei s SIL
1009.wav|SIL dh eir r h a z t uu b ii; @ l i m i t SIL
1513.wav|SIL dh @ t dh @ v ae @ l @ n s w @ z k oo z d b ae dh @ k i k oo f t ai m SP i z @ p oo p y uu l @r r s i n a r ii ou SIL
1307.wav|SIL @ n uh dh @r r i z dh @ t h ii; k @ l a p s t @ n d d ae d oo n dh @ s p oo t SIL
2253.wav|SIL i t w @ z v e r ii SP v e r ii i m ou sh n= @ l SIL
1_130.wav|SIL p @ l ii s i n dh @ p r @ f e sh n= i z i m p our r t @ n t SIL
173.wav|SIL b uh t dh @ r i l ii f SP w @ z sh or r t l i v d SIL
2823.wav|SIL dh ei d uu; n oo t n ou SP hw oo t t uu i k s p e k t SIL
4011.wav|SIL f oo k s i z d ou n t n ou hw e dh @r r dh ei @r r i n s k oo t l @ n d or r i ng g l @ n d SIL
2974.wav|ae th oo t i t w @ z dh eir r b e s t ch a n s t uu g e t ow t @ l ae v SIL
1_125.wav|SIL dh @ r i z uh l t s @r r v e r ii p oo z i t i v SIL
1032.wav|SIL dh @ r e f @r r ii SP i n d ei n jh @r r @ v l uu; z i n k @ n t r ou l SP w @ z h a v i n n uh n @ v i t SIL
3841.wav|SIL h ii; w @ z v e r ii s oo l i d SIL
1136.wav|SIL w ii; jh uh s t h a d @ g ou SIL
2074.wav|SIL dh ii; y uh ng g @r r jh e n @r r ei sh n= SP ar r h ir; r t uu; SIL
2826.wav|SIL ae g ou t @ e v r ii w @@r r l d k uh p SIL
2809.wav|SIL i t jh uh s t d i d n= t h a p @ n f @r r dh @ m t @ d ei SIL
