output|text
1498.wav|SIL sh ii; s e d sh ii; w @ z n ow k @ n s i d @r t^ i n l ii g @ l a k sh n= SIL
2905.wav|SIL dh eir r k uu d b ii; l ei ? n= ? d i z ii; z i n s k oo ? l @ n d SIL
3818.wav|SIL k a p i ? l= g ei n z t a k s SP i z oo l s ou b ii; i n t^ i d y uu s t SIL
1023.wav|SIL e v r i th i ng @ b ow ? dh @ m i z ae d e n ? i k @ l SP i k s e p t f @r r dh ii; t e k s t SIL
3931.wav|SIL dh ei w @r r i n ? @r r v y uu; d @ n d w or r n d @ g ei n s t e n ii t^ e p @ t i sh n= @ v dh eir r a k sh n= z SIL
1_346.wav|SIL y uu; sh uu d b ii; dh eir r w i dh s i k s d i f r @ n ? k a t^ i k t @r r z SIL
3555.wav|SIL ae @ m n oo ? t^ e d ii SP f @r r l e n @ k s l uu; i s SIL
2462.wav|SIL ae th i ng k dh @ ? p ii p l= @r r l uu k i n f @r r s uh m th i n dh @ ? s n oo ? dh eir r SIL
2044.wav|SIL i ? sh uu d b ii; f uh n SIL
3029.wav|SIL dh ii; p owr r @ v s t our t^ ii t e l i n SP sh uu d n e v @r r b ii; SPN SIL
3442.wav|SIL i n d i p e n d @ n s SP i z dh ii; b oo ? @ m l ai n SIL
1201.wav|SIL y e s t @r r d ei z @ n ow n s m @ n ? SP i z dh ii; t^ i z uh l ? @ v @ d i sh n= @ l t^ i z our r s i z b ii; i n a l @ k ei ? i d t uu; dh ii; s k oo ? i sh i g z e k y uu ? i v SP f r @ m dh ii; t r e zh @r t^ ii i n hw ai ? h oo l SIL
3154.wav|SIL y uu n ai ? i d h @ d oo k y uu p ae d dh eir r h a f @ v dh ii; f ii l d SP f @r r m ou s t @ v dh ii; s i k oo n d p ir t^ ii @ d SIL
1007.wav|SIL w ii; ou n l ii p l ei f @r r ch a t^ @ ? ii SP t uu; g i v s uh m th i n b a k t uu; dh ii; k i d z SIL
2679.wav|SIL b @ ? h ii; h @ z @ z m uh ch p @ t e n sh l= t uu; w i n dh i s ou p @ n SP @ z e n ii m a n i n dh ii; f ii l d SIL
2_245.wav|SIL h ii; d i d n oo ? SIL
2_400.wav|SIL h ii; i z a SPN SIL
1_243.wav|SIL dh eir r w @ z n ou s ai d t uu; h i m SIL
1190.wav|SIL dh ei k ei m p ar r ? l ii ow ? @ v dh ii; f a m i l ii s i ch uu ei sh n= SP @ n d p ar r ? l ii ow ? @ v dh ii; p @ l i ? i k l= s i ch uu ei sh n= SIL
009.wav|SIL dh eir r i z SP @ k or r d n= t uu; l e jh @ n d SP a b oi l i n p oo ? @ v g ou l d @ ? w uh n e n d SIL
1968.wav|SIL h ir; r w ii; @r r s @ v ir; r l ii t^ i s t r i k t i d b ae l e jh i s l ei sh n= SIL
517.wav|SIL y uu; v g oo ? t uu; l ai k a k our r s SP t uu; p l ei w e l oo n i ? SIL
136.wav|SIL dh i s y ir; r SP w ii; k @ n t^ ii @ l ii f ii l dh ii; t^ e z @r t^ e k sh n= SIL
084.wav|SIL p oo l m @ k ar r ? n ii SP h @ z g i v n= h i z h ou m s i ? ii a p @r r f or r m i n ar r ? s s e n ? @r r SIL
3612.wav|SIL dh @ ? w @ z dh ii; t ai m t uu; b ae SIL
2060.wav|SIL a s ii n y @r r l ei b @r r s our r s SP s e d dh ii; sh oo n zh @ v n ei m w @ z d i s k uh s t @ ? l a s t n ai ? s m ii ? n= @ v s k oo ? i sh m e m b @r r z @ ? w e s t m i n s t @r r SIL
412.wav|SIL h ii; s ii m z t uu; b ii; m ei k i n a g uu d t^ i k uh v @r t^ ii SP @ n d i z l uu k i n f or r w @r r d t uu; g ou i n h ou m SIL
1_126.wav|SIL h ii; w i l s er r ? @ n l ii b ii; i n v oo l v d SIL
3060.wav|SIL i ? s l ai k l ii t uu; b ii; w uh n @ v dh ii; p ii p l= i l e k t i d @ ? dh i s i l e k sh n= SIL
3532.wav|SIL dh ei m ei n e v @r r b ii; @ z s @ k s e s f uu l @ g ei n SIL
1403.wav|SIL hw ae sh uu d w ii; b ii; s @ b jh e k t i d t uu; dh @ ? k ai n d @ v p r @ t e s t SIL
2985.wav|SIL s k uu l b i k ei m s ou d i f i k l= ? f @r r h @r r SP dh @ ? h @r r p eir t^ @ n ? s t^ i v er r ? i d t uu; t ii ch i n h @r r @ ? h ou m SIL
3386.wav|SIL i ? s a k y ur t^ ii @ s p @ z i sh n= t uu; b ii; i n SIL
2_074.wav|SIL sh ii; h @ d d i n ae d dh ii; ch ar r jh SIL
1692.wav|SIL w ii; f e l ? i ? w @ z s @ f i sh n= ? SIL
3855.wav|SIL i ? i z uh n f eir r t uu; a s k m ii; @ b ow ? dh i s SIL
3652.wav|SIL w ii; @r r s t i l w ei ? n= a f ae n l= ow ? k uh m SIL
455.wav|SIL dh ei w @r r oo l g uu d SIL
2_422.wav|SIL dh ii; f ar r m @r r SP k uu d n oo ? k @ n t ei n h i z jh e l @ s ii SIL
1_201.wav|SIL sh ii; i z n oo ? dh ii; w @@r r l d ch a m p ii @ n SIL
3436.wav|SIL f our r @ v dh ii; v i k t i m z SP w @r r w i m i n SIL
096.wav|SIL dh ei w @r r i n v ai ? i d t uu; g i v dh eir r v y uu; @ v dh ii; w ei @ h e d f @r r dh ii; k l uh b SIL
1713.wav|SIL w ii; sh uu d k ii p dh i s t^ ii s n= ? @ s oo l ? i n p @r r s p e k t i v SIL
1_202.wav|SIL b @ ? dh ii; k uh t^ @ n s ii i z n oo ? @ k s e p t i d SIL
278.wav|SIL d ou z i ? m ei k a p r oo f i ? SIL
048.wav|SIL ae w @ z n oo ? k ow n ? n= SIL
3955.wav|SIL i ? w uu d s er r ? @ n l ii b ii; g uu d t uu; g e ? i n t uu dh ii; t ii m SP w i dh ow ? h a v n= t uu; w uh t^ ii @ b ow ? a w ai l d k ar r d SIL
3268.wav|SIL h ow e v @r r SP dh @ ? l e f t dh ii; k w e s ch @ n @ v dh ii; e v i d @ n s SP hw i ch w @ z n oo ? l e d @ ? dh ii; t r ae @ l SIL
2661.wav|SIL dh ei @r r f ii m ei l @ n d m a t^ ii d SIL
3205.wav|SIL s k oo ? l @ n d w i l f ai n d dh @ ? ow ? SIL
4036.wav|SIL ae t^ ii @ l ii d ou w oo n ? t uu; p l ei i n dh i s t ur r n @ m @ n ? @ g ei n SIL
2711.wav|SIL dh ii; p @ l ii s w @r r k oo l d i n SIL
3617.wav|SIL sh ar r l k l ar r k SP i z @ n i d ii ou SIL
2744.wav|SIL jh oo n or r w @ z dh ii; i k s e p sh n= SIL
3392.wav|SIL @ n @ n ow n s m @ n ? oo n h i z t^ i p l ei s m @ n ? SP i z i k s p e k t i d SP w i dh i n th r ii; w ii k s SIL
3995.wav|SIL l e ? uh s b ii; k w ai ? k l ir; r SIL
3679.wav|SIL dh eir r z n ou e v i d @ n s h ii; w @ z e v @r r dh eir r SIL
2867.wav|SIL ae k @ n s ii; dh @ ? n ow SIL
311.wav|SIL w e l SP i ? h @ z SIL
334.wav|SIL b ii; e n i th n= b @ ? d i s h ar r ? @ n d b ae dh i s SIL
2_382.wav|SIL hw oo ? k @ n w ii; s ei SIL
207.wav|SIL dh ii; p @r r s e p sh n= i n oo s t r ei l y @ SP i z dh @ ? dh ii; k ow n ? ii ch a m p ii @ n sh i p i z i m p r uu; v n= SPN SIL
1694.wav|SIL b @ ? i ? h @ z l ar r jh l ii v a n i sh t f r @ m dh ii; @ m e t^ i k @ n d i b ei ? SIL
1_057.wav|SIL dh ei w oo n ? i d uh s t uu; g ou @ z w e l SIL
1_337.wav|SIL dh eir r w @ z n ou k @ n t e s t SIL
1548.wav|SIL i ? w @ z a d ei f @r r t^ i k or r d z SIL
2296.wav|SIL jh uh s t w ei ? @ n d s ii; SIL
1620.wav|SIL i ? oo l d i p e n d z oo n dh ii; ch a n s l= @r r SIL
1_305.wav|SIL h ow e v @r r SP w ii; m uh s t n oo ? b ii; k @ m p l ei s n= ? SIL
2322.wav|SIL w i dh l or r d a l ii SP h ii; y uu; z d h i z ou n m uh n ii t uu; h aer r oo f i s i z i n dh ii; sh a d ou @ v w e s t m i n s t @r r a b ii SIL
3706.wav|SIL w ii; h @ v n e v @r r m a n i jh d SP t uu; k w oo n ? i f ae dh i s b i f our r SIL
2086.wav|SIL ae sh uu d h @ v h @ d @ ? l ii s t a k uh p l= @ v g ou l z SIL
3243.wav|SIL hw oo ? i z t uu; b ii; d uh n SP w i dh y uu; @ n m @ g r e g @r r SIL
3467.wav|SIL ae n y uu; i ? w @ z m ou s t uh n l ai k l ii SIL
1046.wav|SIL i ? s b ii n f r uh s t r ei ? n= SP b @ ? y uu; jh uh s t h @ v t uu; g e ? oo n w i dh i ? SIL
1829.wav|SIL w ii; m ei n oo ? n ou m uh ch @ b ow ? i ? SP b @ ? w ii; d ou n ou hw oo ? w ii; l ai k SIL
2_298.wav|SIL dh i s i z ou n l ii w uh n i g z a m p l= SIL
3169.wav|SIL dh i s i z i n t aer r l ii @ p r ou p r ii ei ? SP @ n d ou v @r r d y uu; SIL
2189.wav|SIL oo l dh ei n ii d n ow SP i z dh ii; e n ? @r r t ei n m @ n ? l ae s n= s SIL
3741.wav|SIL ae d ou n ? n ou hw eir r dh ii; b a th r uu m i z SIL
2_243.wav|SIL i ? d ou z n oo ? m uu; v SP hw i ch i z @ m ei z n= SIL
3889.wav|SIL ae l uu k t ow ? s ai d SP @ n d owr r n ei b @r r SP w @ z ow ? s ai d oo n dh ii; g r ow n d SIL
3662.wav|SIL dh ii; n uh m @r r @ v g ei m z i z a p r oo b l @ m SP b @ ? w ii; h @ v t uu; k ou p w i dh dh @ ? SIL
3215.wav|SIL i z oo l dh i s t^ ii @ l ii a s a k i n k ei s SIL
225.wav|SIL h ii; @ p r ou ch t dh ii; g a l @r t^ ii i n SPN er r l ii @r r dh i s y ir; r SIL
3653.wav|SIL dh @ ? s @ n uh dh @r r th i ng w ii; h @ v t uu; f a k t @r r i n SP dh i s w ii k SIL
1112.wav|SIL sh ii; w i l b ii; m ou ? i v ei ? i d t uu; g e ? a w i n @ g ei n s t m ii; SIL
1207.wav|SIL i n t @@r r n SP dh ii; f aer r f ai ? @r r z a ng g r i l ii k r i ? i s ae z d dh ii; g uh v @r r m @ n ? SP f @r r f ei l i n t uu; m ii ? dh eir r d i m a n d z SIL
3675.wav|SIL dh ii; s k oo ? i sh m a n i jh m @ n ? t ii m w i l s e ? l= f @r r dh @ ? SIL
3867.wav|SIL dh ii; h ou m s ai d SP h @ d i ? @ z @ n e k s t r @ m a n i n dh ii; f @@r r s t p ir t^ ii @ d SP @ n d y uu; z d i ? w e l SIL
1540.wav|SIL dh @ ? w i l n oo ? k @ n t i n y uu SIL
957.wav|SIL dh eir r i z a l oo ? @ v p @ t e n sh l= i n dh i s s ai d SIL
1_148.wav|SIL w ii; h @ v t @@r r n d dh ii; k or r n @r r SIL
1899.wav|SIL i ? s a p i ? ii SP b @ ? dh @ ? i z dh ii; t^ ii a l @ ? ii @ v i ? SIL
779.wav|SIL dh ii; th i ng i z SP dh @ ? oo l dh ii; p l ei @r r z h ir; r h @ v l oo ng t er r m k @ n t r a k t s SIL
1484.wav|SIL @ z w ii; l uu k t @ w or r d z dh ii; n e k s t s t ei jh @ v owr r d i v e l @ p m @ n ? SP w ii; h @ v SP g oo ? t uu; k uh m uh p @ g ei n s t t ii m z l ai k dh i s SIL
049.wav|SIL dh ii; m ei n k @ n s er r n SP i z dh @ ? i ? k uu d i n ? @r r f ir; r w i dh SP eir r t r a f i k SIL
1047.wav|SIL dh i s i z dh ii; s i k oo n d t ai m dh ei h @ v b ii ? n= dh @ m i n f our r d ei z SIL
565.wav|SIL dh ii; d i v e l @ p m @ n ? i z @ n uh dh @r r k r i p l= i n s e ? b a k f @r r dh ii; s t r uh g l= i n t e k s t ai l i n d @ s t r ii i n s k oo ? l @ n d SIL
4000.wav|SIL h ii; h @ d a s k t i f dh ei h @ d dh ii; s k r i p t SIL
3188.wav|SIL dh ei h @ v s uh m v e t^ ii g uu d p l ei @r r z SP b ei s t i n y ur t^ @ p SIL
1767.wav|SIL ae d i s @ g r ii; i n t aer r l ii w i dh dh ii; d i s i zh n= SIL
1163.wav|SIL w ii; k a n oo ? t ei k e n i th n= f @r r g r a n ? i d SIL
188.wav|SIL n ou b @ d ii w uu d b i l ii; v i ? SIL
400.wav|SIL i ? i z dh ii; k uh l m i n ei sh n= @ v m our r dh @ n a SPN @ v d i v e l @ p m @ n ? oo n dh ii; sh ou SIL
3615.wav|SIL w i n @r r z w @r r i n a t^ uh f l ii SPN m @ jh oo t^ @ ? ii SIL
1_417.wav|SIL h ii; p uu l d ow ? a g uh n SP @ n d d i m a n d i d m uh n ii SIL
1341.wav|SIL i ? w @ z p er r f i k t l ii n or r m l= k oo n v @r r s ei sh n= SIL
206.wav|SIL dh ei w i l d i s ai d i f h ii; h @ z a k ei s t uu; a n s @r r SIL
280.wav|SIL l uh n d @ n i z w uh n @ v dh ii; s ei f i s t k a p i ? l= s i ? ii z i n dh ii; h ou l @ v dh ii; w @@r r l d SIL
3980.wav|SIL s ou f ar r SP dh ii; s ai n z @r r n oo ? i n k uh t^ i jh i n SIL
205.wav|SIL dh @ ? w uu d h a p @ n ii dh @r r t @ d ei @r r t @ m oo t^ ou m or r n i n SIL
2739.wav|SIL dh ii; t r a jh @ d ii i z dh ei h @ v s ou l i ? l= t uu; sh ou f @r r i ? SIL
3777.wav|SIL dh ei w @r r n oo ? ii v n= oo l dh eir r SIL
3369.wav|SIL dh eir r i z @ v k our r s SP @ n uh dh @r r s ai d SIL
1583.wav|SIL dh ei w @r r d e f i n @ ? l ii uh p f @r r dh i s w uh n SIL
2181.wav|SIL i ? w @ z k w ai ? s i m p l ii SP d i l i sh @ s SIL
2_376.wav|SIL dh ei @r r i n dh ii; t^ oo ng SIL
3523.wav|SIL h ii; w @ z d e d SIL
2529.wav|SIL i ? w @ z n oo ? @ n i n s uh l ? SIL
947.wav|SIL g uh v @r r m @ n ? d ou z h @ v a t^ ou l SIL
3738.wav|SIL ae g oo ? a y e l ou k ar r d SIL
3265.wav|SIL l or r d SPN SP i z i n t ae ? l= d t uu; h i z v y uu; SIL
1_247.wav|SIL b @ ? dh @ ? i z oo l b i h ai n d h i m SIL
3353.wav|SIL h i z t^ i k or r d oo n g uh v @r r m @ n ? SP h @ z oo l w ei z b ii n h ae l ii i f e k t i v SIL
2_175.wav|SIL i f h ii; d ou z n oo ? l ii; v SP h ii; w i l b ii; sh oo ? SIL
3413.wav|SIL h i z k ei s i z b ii; i n b a k t b ae dh ii; k @ m i sh n= f @r r t^ ei sh l= i k w oo l @ ? ii SIL
1573.wav|SIL w @r r dh eir r a l oo ? @ v m ae f a m i l ii i n dh ii; k r ow d SIL
457.wav|SIL b @ ? i ? i z a w ei @ v l uu k i n @ ? i ? SIL
3106.wav|SIL dh eir r a k sh n= z SP @r r @ n i g z a m p l= @ v t e t^ @r t^ i z m= SIL
906.wav|SIL i ? i z n= ? @ n i sh uu SIL
1_373.wav|SIL y uu; h @ v g oo ? t uu; b ii; SP t^ ii @ l i s t i k SIL
2897.wav|SIL dh @ ? s @ z i ? sh uu d b ii; SIL
3334.wav|SIL a k @ n s i s t @ n ? l ii g uu d p @r r f or r m @ n s SP i z i m p our r ? @ n ? SIL
3966.wav|SIL dh eir r w @ z n ou n ii d SP f @r r dh i s t uu; h a p @ n SIL
545.wav|SIL a l i s n= i z n oo ? k @ n v i n s t SIL
2_228.wav|SIL ae h a v n= ? h @ d dh ii; k oo l SIL
1058.wav|SIL ae th i ng k dh ii; s t r e n th @ v f ii l i n i z g a dh @r t^ i n m @ m e n ? @ m SIL
067.wav|SIL d i s k uh sh n= z k @ n t i n y uu SP @ n d dh ei @r r l ai k l ii t uu; k @ n t i n y uu i n t uu n e k s t w ii k SIL
2851.wav|SIL ii dh @r r s i s t @ m SP k uu d h @ v p r i v e n ? i d dh ii; k r a sh SIL
2517.wav|SIL i ? s n oo ? k @r t^ e k t SIL
2_360.wav|SIL s ou hw oo ? m ei k s i ? s ou s p e sh l= SIL
3162.wav|SIL @ n d i ? s ii m z t uu; m ii; SP dh @ ? i ? w uu d l e d t uu; k @ n f y uu zh n= ou v @r r h uu; h @ z dh ii; f ae n l= oo th oo t^ @ ? ii SIL
3513.wav|SIL ae n y uu; i ? w @ z a t uh f t ai m f @r r dh ii; l ae @ n z SP @ n d a t uh f t ai m f @r r uh s SIL
2_170.wav|SIL h ii; h @ z s uh m th i n i n k oo m @ n w i dh dh ii; w oo l @ b ii z SIL
3549.wav|SIL w ii; v g oo ? dh ii; b r oo n z SIL
319.wav|SIL a w ai d t^ ei n jh @ v t^ i s t r i k sh n= z @r r i n p l ei s SIL
1009.wav|SIL dh eir r h @ z t uu; b ii; a l i m i ? SIL
1513.wav|SIL dh @ ? dh ii; v ae @ l @ n s w @ z k oo z d b ae dh ii; k i k oo f t ai m SP i z a p oo p y uu l @r r s i n a t^ ii ou SIL
1307.wav|SIL @ n uh dh @r r i z dh @ ? h ii; k @ l a p s t @ n d d ae d oo n dh ii; s p oo ? SIL
329.wav|SIL i ? w oo z n= ? @ b ow ? h @r r s i ng i n dh ou SIL
2253.wav|SIL i ? w @ z v e t^ ii SP v e t^ ii i m ou sh n= @ l SIL
1_130.wav|SIL p @ l ii s n= dh ii; p r @ f e sh n= i z i m p our r ? @ n ? SIL
173.wav|SIL b @ ? dh ii; t^ i l ii f SP w @ z sh or r ? l i v d SIL
2823.wav|SIL dh ei d ou n oo ? n ou hw oo ? t uu; i k s p e k t SIL
4011.wav|SIL f oo k s i z d ou n ? n ou hw e dh @r r dh ei @r r i n s k oo ? l @ n d @r r i ng g l @ n d SIL
2974.wav|SIL ae th oo ? i ? w @ z dh eir r b e s t ch a n s t uu; g e ? ow ? @ l ae v SIL
1_125.wav|SIL dh ii; t^ i z uh l ? s @r r v e t^ ii p oo z i ? i v SIL
1032.wav|SIL dh ii; t^ e f @r t^ ii SP i n d ei n jh @r r @ v l uu; z n= k @ n t r ou l SP w @ z h a v n= n uh n @ v i ? SIL
3841.wav|SIL h ii; w @ z v e t^ ii s oo l i d SIL
1136.wav|SIL w ii; jh uh s t h @ d a g ou SIL
2074.wav|SIL dh ii; y uh ng g @r r jh e n @r t^ ei sh n= @r r h ir; r t uu; SIL
2826.wav|SIL ae g ou t uu; e v r ii w @@r r l d k uh p SIL
2809.wav|SIL i ? jh uh s t d i d n= ? h a p @ n f @r r dh @ m t @ d ei SIL
